id;chapter;index;name;aupadeshik;ganam;padam;settva;karma;kaumudi_dhatu_number;meaning;english_meaning;hindi_meaning
1010067;1;67;भिन्द्;भिदिँ;भ्वादि;परस्मैपदी;सेट्;अकर्मकः;64P;अवयवे;to split,to cleave,to divide;
1010068;1;68;गण्ड्;गडिँ;भ्वादि;परस्मैपदी;सेट्;अकर्मकः;65;वदनैकदेशे;to have cheek disease;गालोंमें रोग होना, गण्डमाला होना
1010069;1;69;निन्द्;णिदिँ;भ्वादि;परस्मैपदी;सेट्;सकर्मकः;66;कुत्सायाम्;to blame,to censure,to condemn, to insult, to ridicule, to revile, to criticise;निन्दा करना, दोष लगाना
1010070;1;70;नन्द्;टुनदिँ;भ्वादि;परस्मैपदी;सेट्;अकर्मकः;67;समृद्धौ;to prosper;वृद्धि होना, बढ़ती होना
1010071;1;71;चन्द्;चदिँ;भ्वादि;परस्मैपदी;सेट्;सकर्मकः;68;आह्लादे दीप्तौ च;to be glad, to shine;आनन्द पाना, खुश होना, चमकना
1010072;1;72;त्रन्द्;त्रदिँ;भ्वादि;परस्मैपदी;सेट्;अकर्मकः;69;चेष्टायाम्;to try, to be busy, to be active;प्रयत्न करना, उद्यम करना
1010073;1;73;कन्द्;कदिँ;भ्वादि;परस्मैपदी;सेट्;सकर्मकः;70;आह्वाने रोदने च;to call out,to cry,to cry out continually,to lament,to grieve, to shed tears;पुकारना, रोना
1010074;1;74;क्रन्द्;क्रदिँ;भ्वादि;परस्मैपदी;सेट्;सकर्मकः;71;आह्वाने रोदने च;to call out,to cry,to cry out continually,to lament,to grieve, to shed tears;पुकारना, रोना
1010075;1;75;क्लन्द्;क्लदिँ;भ्वादि;परस्मैपदी;सेट्;सकर्मकः;72;आह्वाने रोदने च;to call out,to cry,to cry out continually,to lament,to grieve, to shed tears;पुकारना, रोना
1010076;1;76;क्लिन्द्;क्लिदिँ;भ्वादि;परस्मैपदी;सेट्;सकर्मकः;73;परिदेवने;to lament to grieve, to shed tears, to have sorrow;रोना, शोक करना
1010077;1;77;शुन्ध्;शुन्धँ;भ्वादि;परस्मैपदी;सेट्;अकर्मकः;74;शुद्धौ;to purify, to cleanse;शुद्ध होना, पवित्र होना
1010078;1;78;शीक्;शीकृँ;भ्वादि;आत्मनेपदी;सेट्;सकर्मकः;75;सेचने;to sprinkle;सींचना
1010079;1;79;सीक्;सीकृँ;भ्वादि;आत्मनेपदी;सेट्;सकर्मकः;75P;सेचने;to sprinkle;
1010080;1;80;लोक्;लोकृँ;भ्वादि;आत्मनेपदी;सेट्;सकर्मकः;76;दर्शने;to see,to perceive,to look;देखना
1010081;1;81;श्लोक्;श्लोकृँ;भ्वादि;आत्मनेपदी;सेट्;सकर्मकः;77;सङ्घाते;to compose, to write poem;श्लोक बनाना, कविता करना, रचना करना
1010082;1;82;श्रेक्;श्रेकृँ;भ्वादि;आत्मनेपदी;सेट्;सकर्मकः;;गतौ;to compose, to write poem;
1010083;1;83;द्रेक्;द्रेकृँ;भ्वादि;आत्मनेपदी;सेट्;अकर्मकः;78;शब्दोत्साहयोः;to sound,to show joy, to be exhilarated;शब्द करना, उत्साह करना, आनन्द प्रकट करना
1010084;1;84;ध्रेक्;ध्रेकृँ;भ्वादि;आत्मनेपदी;सेट्;अकर्मकः;79;शब्दोत्साहयोः;to sound,to show joy, to be exhilarated;शब्द करना, उत्साह करना, आनन्द प्रकट करना
1010085;1;85;रेक्;रेकृँ;भ्वादि;आत्मनेपदी;सेट्;सकर्मकः;80;शङ्कायाम्;to doubt, to suspect;शंका करना
1010086;1;86;सेक्;सेकृँ;भ्वादि;आत्मनेपदी;सेट्;सकर्मकः;81;गतौ;to go,to move;जाना
1010087;1;87;स्रेक्;स्रेकृँ;भ्वादि;आत्मनेपदी;सेट्;सकर्मकः;82;गतौ;to go,to move;जाना
1010088;1;88;स्रङ्क्;स्रकिँ;भ्वादि;आत्मनेपदी;सेट्;सकर्मकः;83;गतौ;to go,to move;जाना
1010089;1;89;श्रङ्क्;श्रकिँ;भ्वादि;आत्मनेपदी;सेट्;सकर्मकः;84;गतौ;to go,to move;जाना
1010090;1;90;श्लङ्क्;श्लकिँ;भ्वादि;आत्मनेपदी;सेट्;सकर्मकः;85;गतौ;to go,to move;जाना
1010091;1;91;शङ्क्;शकिँ;भ्वादि;आत्मनेपदी;सेट्;सकर्मकः;86;शङ्कायाम्;to doubt,to suspect;शंका करना, संशय करना
1010092;1;92;अङ्क्;अकिँ;भ्वादि;आत्मनेपदी;सेट्;सकर्मकः;87;लक्षणे;to go, to blame,to censure,to condemn, to insult, to ridicule, to revile, to criticise;चिह्न करना, टेढा जाना
1010093;1;93;वङ्क्;वकिँ;भ्वादि;आत्मनेपदी;सेट्;अकर्मकः;88;कौटिल्ये;to be crooked, to bend, to move in curve;वक्र होना, टेढा होना, दुष्टता करना, नमना, टेढ़ा जाना
1010094;1;94;मङ्क्;मकिँ;भ्वादि;आत्मनेपदी;सेट्;सकर्मकः;89;मण्डने;to decorate;संवारना, अलंकृत करना
1010095;1;95;कक्;ककँ;भ्वादि;आत्मनेपदी;सेट्;अकर्मकः;90;लौल्ये;to be proud,to be unsteady,to be thirsty;गर्व करना, चञ्चल होना, प्यासा होना
1010096;1;96;कुक्;कुकँ;भ्वादि;आत्मनेपदी;सेट्;सकर्मकः;91;आदाने;to take,to accept,to seize;लेना
1010097;1;97;वृक्;वृकँ;भ्वादि;आत्मनेपदी;सेट्;सकर्मकः;92;आदाने;to accept,to seize;लेना
1010098;1;98;चक्;चकँ;भ्वादि;आत्मनेपदी;सेट्;सकर्मकः;93;तृप्तौ प्रतीघाते च;to be satisfied, to be contended, to repel, to cheat, to betray;तृप्त होना, संतुष्ट होना, चकमा देना, धोखा देना
1010099;1;99;कङ्क्;ककिँ;भ्वादि;आत्मनेपदी;सेट्;सकर्मकः;94;गतौ;to go;जाना
1010100;1;100;वङ्क्;वकिँ;भ्वादि;आत्मनेपदी;सेट्;सकर्मकः;95;गतौ;to go;जाना
1010101;1;101;श्वङ्क्;श्वकिँ;भ्वादि;आत्मनेपदी;सेट्;सकर्मकः;96;गतौ;to go;जाना
1010102;1;102;त्रङ्क्;त्रकिँ;भ्वादि;आत्मनेपदी;सेट्;सकर्मकः;97;गतौ;to go;जाना
1010103;1;103;ढौक्;ढौकृँ;भ्वादि;आत्मनेपदी;सेट्;सकर्मकः;98;गतौ;to go;जाना
1010104;1;104;त्रौक्;त्रौकृँ;भ्वादि;आत्मनेपदी;सेट्;सकर्मकः;99;गतौ;to go;जाना
1010105;1;105;ष्वष्क्;ष्वष्कँ;भ्वादि;आत्मनेपदी;सेट्;सकर्मकः;100;गतौ;to go;जाना
1010106;1;106;वस्क्;वस्कँ;भ्वादि;आत्मनेपदी;सेट्;सकर्मकः;101;गतौ;to go;जाना
1010107;1;107;मस्क्;मस्कँ;भ्वादि;आत्मनेपदी;सेट्;सकर्मकः;102;गतौ;to go;जाना
1010108;1;108;टिक्;टिकृँ;भ्वादि;आत्मनेपदी;सेट्;सकर्मकः;103;गतौ;to go;जाना
1010109;1;109;टीक्;टीकृँ;भ्वादि;आत्मनेपदी;सेट्;सकर्मकः;104;गतौ;to go;जाना
1010110;1;110;तिक्;तिकृँ;भ्वादि;आत्मनेपदी;सेट्;सकर्मकः;105;गतौ;to go;जाना
1010111;1;111;तीक्;तीकृँ;भ्वादि;आत्मनेपदी;सेट्;सकर्मकः;106;गतौ;to go;जाना
1010112;1;112;रङ्घ्;रघिँ;भ्वादि;आत्मनेपदी;सेट्;सकर्मकः;107;गतौ;to go;जाना
1010113;1;113;लङ्घ्;लघिँ;भ्वादि;आत्मनेपदी;सेट्;सकर्मकः;108;गतौ भोजननिवृत्तौ च;to go, to fast, to abstain from food;जाना, उपवास करना
1010114;1;114;ष्वक्क्;ष्वक्कँ;भ्वादि;आत्मनेपदी;सेट्;सकर्मकः;;गतौ;to go;
1010115;1;115;अङ्घ्;अघिँ;भ्वादि;आत्मनेपदी;सेट्;अकर्मकः;109;गत्याक्षेपे;to set out, to go, to commence, to blame;गति करना, आरम्भ करना, निन्दा करना
1010116;1;116;वङ्घ्;वघिँ;भ्वादि;आत्मनेपदी;सेट्;सकर्मकः;110;गत्याक्षेपे;to set out, to go, to commence, to blame;जाना, निन्दा करना
1010117;1;117;मङ्घ्;मघिँ;भ्वादि;आत्मनेपदी;सेट्;सकर्मकः;111;गत्याक्षेपे गत्यारम्भे कैतवे च;to set out, to go, to commence, to blame, to cheat;जाना, निन्दा करना
1010118;1;118;राघ्;राघृँ;भ्वादि;आत्मनेपदी;सेट्;अकर्मकः;112;सामर्थ्ये;to be competent, to be able, to be powerful;समर्थ होना, योग्य होना
1010119;1;119;लाघ्;लाघृँ;भ्वादि;आत्मनेपदी;सेट्;अकर्मकः;113;सामर्थ्ये;to be competent, to be able, to be powerful;समर्थ होना
1010120;1;120;द्राघ्;द्राघृँ;भ्वादि;आत्मनेपदी;सेट्;अकर्मकः;114;सामर्थ्ये आयामे च;to be competent, to be able, to be powerful, to stretch, to spread;शक्तिमान होना, लम्बा करना, तानना
1010121;1;121;ध्राघ्;ध्राघृँ;भ्वादि;आत्मनेपदी;सेट्;अकर्मकः;114P;सामर्थ्ये;to be competent, to be able, to be powerful;
1010122;1;122;श्लाघ्;श्लाघृँ;भ्वादि;आत्मनेपदी;सेट्;सकर्मकः;115;कत्थने;to praise,to flatter,to boast;प्रशंसा करना, आत्म स्तुति करना, फुसलाना
1010123;1;123;फक्क्;फक्कँ;भ्वादि;परस्मैपदी;सेट्;सकर्मकः;116;नीचैर्गतौ;to go slowly, to misbehave;धीरे धीरे जाना, रेंगना, खराब आचरण करना
1010124;1;124;तक्;तकँ;भ्वादि;परस्मैपदी;सेट्;अकर्मकः;117;हसने;to make fun, to laugh at;हसना, उपहास करना, मज़ाक उडाना
1010125;1;125;तङ्क्;तकिँ;भ्वादि;परस्मैपदी;सेट्;अकर्मकः;118;कृच्छ्रजीवने;to live in distress;दुःख से, तंगी से जीवन बिताना
1010126;1;126;बुक्क्;बुक्कँ;भ्वादि;परस्मैपदी;सेट्;अकर्मकः;119;भषणे;to bark;भौंकना, कुत्ते के समान शब्द करना
1010127;1;127;शुक्;शुकँ;भ्वादि;परस्मैपदी;सेट्;सकर्मकः;;गतौ;to move, to go;
1010128;1;128;कख्;कखँ;भ्वादि;परस्मैपदी;सेट्;अकर्मकः;120;हसने;to laugh;हसना
1010129;1;129;ओख्;ओखृँ;भ्वादि;परस्मैपदी;सेट्;सकर्मकः;121;शोषणालमर्थयोः;to dry out, to decorate, to be sufficient, to refuse, to prevent, to stop;शुष्क होना, सूखना, कान्तिमान होना, अलंकृत करना
1010130;1;130;राख्;राखृँ;भ्वादि;परस्मैपदी;सेट्;सकर्मकः;122;शोषणालमर्थयोः;to dry out, to decorate, to be sufficient, to refuse, to prevent, to stop;सूखना, शुष्क होना, भूषित करना, कार्यक्षम होना, रोकना, निषेध करना
1010131;1;131;लाख्;लाखृँ;भ्वादि;परस्मैपदी;सेट्;सकर्मकः;123;शोषणालमर्थयोः;to dry out, to decorate, to be sufficient, to refuse, to prevent, to stop;सूखना, शुष्क होना, भूषित करना, कार्यक्षम होना, रोकना, निषेध करना
1010132;1;132;द्राख्;द्राखृँ;भ्वादि;परस्मैपदी;सेट्;सकर्मकः;124;शोषणालमर्थयोः;to dry out, to decorate, to be sufficient, to refuse, to prevent, to stop;सूखना, शुष्क होना, भूषित करना, कार्यक्षम होना, रोकना, निषेध करना
1010133;1;133;ध्राख्;ध्राखृँ;भ्वादि;परस्मैपदी;सेट्;सकर्मकः;125;शोषणालमर्थयोः;to dry out, to decorate, to be sufficient, to refuse, to prevent, to stop;सूखना, शुष्क होना, भूषित करना, कार्यक्षम होना, रोकना, निषेध करना
1010134;1;134;शाख्;शाखृँ;भ्वादि;परस्मैपदी;सेट्;सकर्मकः;126;व्याप्तौ;to pervade, to spread, to penetrate, to occupy;शाखा फैलना, डालें पैदा होना
1010135;1;135;श्लाख्;श्लाखृँ;भ्वादि;परस्मैपदी;सेट्;सकर्मकः;127;व्याप्तौ;to pervade,to spread, to penetrate, to occupy;व्याप्त होना, फैलना
1010136;1;136;उख्;उखँ;भ्वादि;परस्मैपदी;सेट्;सकर्मकः;128;गतौ;to go;जाना
1010137;1;137;उङ्ख्;उखिँ;भ्वादि;परस्मैपदी;सेट्;सकर्मकः;129;गतौ;to go;जाना
1010138;1;138;वख्;वखँ;भ्वादि;परस्मैपदी;सेट्;सकर्मकः;130;गतौ;to go;जाना
1010139;1;139;वङ्ख्;वखिँ;भ्वादि;परस्मैपदी;सेट्;सकर्मकः;131;गतौ;to go;जाना
1010140;1;140;मख्;मखँ;भ्वादि;परस्मैपदी;सेट्;सकर्मकः;132;गतौ;to go;जाना
1010141;1;141;मङ्ख्;मखिँ;भ्वादि;परस्मैपदी;सेट्;सकर्मकः;133;गतौ;to go;जाना
1010142;1;142;नख्;णखँ;भ्वादि;परस्मैपदी;सेट्;सकर्मकः;134;गतौ;to go;जाना
1010143;1;143;नङ्ख्;णखिँ;भ्वादि;परस्मैपदी;सेट्;सकर्मकः;135;गतौ;to go;जाना
1010144;1;144;रख्;रखँ;भ्वादि;परस्मैपदी;सेट्;सकर्मकः;136;गतौ;to go;जाना
1010145;1;145;रङ्ख्;रखिँ;भ्वादि;परस्मैपदी;सेट्;सकर्मकः;137;गतौ;to go;जाना
1010146;1;146;लख्;लखँ;भ्वादि;परस्मैपदी;सेट्;सकर्मकः;138;गतौ;to go;जाना
1010147;1;147;लङ्ख्;लखिँ;भ्वादि;परस्मैपदी;सेट्;सकर्मकः;139;गतौ;to go;जाना
1010148;1;148;इख्;इखँ;भ्वादि;परस्मैपदी;सेट्;सकर्मकः;140;गतौ;to go;जाना
1010149;1;149;इङ्ख्;इखिँ;भ्वादि;परस्मैपदी;सेट्;सकर्मकः;141;गतौ;to go;जाना
1010150;1;150;जभ्;जभँ;भ्वादि;आत्मनेपदी;सेट्;अकर्मकः;;गात्रविनामे;to yawn,to gape;जम्हाई लेना
1010151;1;151;ईङ्ख्;ईखिँ;भ्वादि;परस्मैपदी;सेट्;सकर्मकः;142;गतौ;to go;जाना
1010152;1;152;वल्ग्;वल्गँ;भ्वादि;परस्मैपदी;सेट्;सकर्मकः;143;गतौ;to go;जाना
1010153;1;153;रङ्ग्;रगिँ;भ्वादि;परस्मैपदी;सेट्;सकर्मकः;144;गतौ;to go;जाना
1010154;1;154;लङ्ग्;लगिँ;भ्वादि;परस्मैपदी;सेट्;सकर्मकः;145;गतौ;to go;जाना
